sub,concept_type,learner,ways,shots,n_episodes,chance,c1_mean,c1_ci_low,c1_ci_high,c2_mean,c2_ci_low,c2_ci_high,margin_mean,margin_ci_low,margin_ci_high,nmi_pred_category_mean,nmi_pred_category_ci_low,nmi_pred_category_ci_high
007b,disjunctive,kcentroid_k3,3,20,30,0.3333,0.424,0.3973,0.4505,0.4383,0.4144,0.4634,0.1276,0.1174,0.1377,0.3852,0.343,0.4229
007b,disjunctive,linsvm,3,20,30,0.3333,0.434,0.4062,0.4602,0.5028,0.4672,0.5361,0.6654,0.6308,0.6989,0.4361,0.395,0.4742
007b,disjunctive,logreg,3,20,30,0.3333,0.44,0.4125,0.4667,0.5056,0.4728,0.5383,0.6229,0.5805,0.6638,0.4334,0.3967,0.4683
007b,disjunctive,random,3,20,30,0.3333,0.3376,0.3207,0.3547,0.32,0.2967,0.3445,1.2084,1.1835,1.2356,0.0245,0.0209,0.028
007b,disjunctive,centroid,3,3,30,0.3333,0.5456,0.5273,0.5642,0.555,0.5266,0.5844,0.1349,0.1265,0.1435,0.3799,0.35,0.4069
007b,disjunctive,exemplar_knn_k1,3,3,30,0.3333,0.5371,0.518,0.5567,0.59,0.5678,0.6139,0.3179,0.31,0.326,0.3547,0.3241,0.3833
007b,disjunctive,exemplar_knn_k3,3,3,30,0.3333,0.5389,0.5231,0.5551,0.6033,0.5744,0.6344,0.4743,0.4472,0.5017,0.359,0.3303,0.3854
007b,disjunctive,exemplar_knn_k5,3,3,30,0.3333,0.5405,0.5211,0.5593,0.5694,0.5444,0.5972,0.393,0.3708,0.4159,0.3731,0.3459,0.3995
007b,disjunctive,kcentroid_k1,3,3,30,0.3333,0.5456,0.5273,0.5642,0.555,0.5266,0.5844,0.1349,0.1265,0.1435,0.3799,0.35,0.4069
007b,disjunctive,kcentroid_k2,3,3,30,0.3333,0.5442,0.5251,0.5633,0.5483,0.5244,0.5739,0.1309,0.122,0.1399,0.3688,0.3401,0.3962
007b,disjunctive,kcentroid_k3,3,3,30,0.3333,0.5371,0.518,0.5567,0.5478,0.5211,0.5761,0.1259,0.118,0.1341,0.3547,0.3241,0.3833
007b,disjunctive,linsvm,3,3,30,0.3333,0.5456,0.5287,0.5629,0.6433,0.6166,0.6717,0.3534,0.3343,0.3731,0.3988,0.3663,0.4325
007b,disjunctive,logreg,3,3,30,0.3333,0.5496,0.5322,0.5653,0.6322,0.605,0.6622,0.2103,0.1976,0.2238,0.397,0.3637,0.4312
007b,disjunctive,random,3,3,30,0.3333,0.3247,0.3111,0.3355,0.3239,0.3006,0.3461,1.2125,1.1728,1.2508,0.0241,0.0193,0.0292
007b,disjunctive,centroid,3,5,30,0.3333,0.5289,0.5067,0.5522,0.5344,0.5116,0.5545,0.1485,0.1369,0.1598,0.4263,0.3932,0.4617
007b,disjunctive,exemplar_knn_k1,3,5,30,0.3333,0.5229,0.5018,0.5433,0.5733,0.5478,0.5978,0.3447,0.3348,0.3557,0.4025,0.3656,0.4369
007b,disjunctive,exemplar_knn_k3,3,5,30,0.3333,0.5238,0.504,0.5438,0.5822,0.5533,0.6111,0.6363,0.594,0.6799,0.3987,0.3632,0.4347
007b,disjunctive,exemplar_knn_k5,3,5,30,0.3333,0.5204,0.4991,0.5409,0.57,0.5455,0.5944,0.7578,0.6939,0.8235,0.3983,0.3635,0.436
007b,disjunctive,kcentroid_k1,3,5,30,0.3333,0.5289,0.5067,0.5522,0.5344,0.5116,0.5545,0.1485,0.1369,0.1598,0.4263,0.3932,0.4617
007b,disjunctive,kcentroid_k2,3,5,30,0.3333,0.5256,0.5049,0.5462,0.5256,0.5044,0.5478,0.1458,0.1351,0.1568,0.4175,0.3836,0.4532
007b,disjunctive,kcentroid_k3,3,5,30,0.3333,0.5227,0.5018,0.5433,0.5317,0.5116,0.5528,0.1422,0.1315,0.1529,0.4076,0.3754,0.4416
007b,disjunctive,linsvm,3,5,30,0.3333,0.5475,0.526,0.57,0.62,0.5994,0.6428,0.4908,0.4614,0.5206,0.4645,0.4322,0.4969
007b,disjunctive,logreg,3,5,30,0.3333,0.5507,0.5284,0.5751,0.6133,0.5922,0.635,0.3297,0.3069,0.3528,0.4657,0.4328,0.4966
007b,disjunctive,random,3,5,30,0.3333,0.336,0.3227,0.3489,0.32,0.2978,0.3439,1.2208,1.1837,1.2567,0.0249,0.0203,0.0301
007b,disjunctive,centroid,5,1,30,0.2,0.4513,0.4391,0.4641,0.4613,0.4373,0.4847,0.1051,0.1002,0.1103,0.3737,0.3564,0.3939
007b,disjunctive,exemplar_knn_k1,5,1,30,0.2,0.4513,0.4391,0.4641,0.4633,0.4407,0.4877,0.279,0.272,0.2863,0.3737,0.3564,0.3939
007b,disjunctive,exemplar_knn_k3,5,1,30,0.2,0.4513,0.4391,0.4641,0.466,0.441,0.4907,0.1051,0.1002,0.1103,0.3737,0.3564,0.3939
007b,disjunctive,exemplar_knn_k5,5,1,30,0.2,0.4513,0.4391,0.4641,0.4613,0.4373,0.4847,0.1051,0.1002,0.1103,0.3737,0.3564,0.3939
007b,disjunctive,kcentroid_k1,5,1,30,0.2,0.4513,0.4391,0.4641,0.4613,0.4373,0.4847,0.1051,0.1002,0.1103,0.3737,0.3564,0.3939
007b,disjunctive,kcentroid_k2,5,1,30,0.2,0.4513,0.4391,0.4641,0.4613,0.4373,0.4847,0.1051,0.1002,0.1103,0.3737,0.3564,0.3939
007b,disjunctive,kcentroid_k3,5,1,30,0.2,0.4513,0.4391,0.4641,0.4613,0.4373,0.4847,0.1051,0.1002,0.1103,0.3737,0.3564,0.3939
007b,disjunctive,linsvm,5,1,30,0.2,0.4505,0.4387,0.464,0.4933,0.4683,0.5183,0.1572,0.1499,0.165,0.3782,0.3595,0.3986
007b,disjunctive,logreg,5,1,30,0.2,0.4513,0.4395,0.4647,0.4903,0.4673,0.5143,0.0881,0.084,0.0924,0.3795,0.3614,0.4004
007b,disjunctive,random,5,1,30,0.2,0.2028,0.1937,0.2125,0.204,0.1883,0.2197,1.1093,1.0839,1.1348,0.0405,0.038,0.0432
007b,disjunctive,centroid,5,10,30,0.2,0.4289,0.4173,0.4409,0.417,0.395,0.4383,0.1319,0.1267,0.1365,0.502,0.4832,0.5174
007b,disjunctive,exemplar_knn_k1,5,10,30,0.2,0.4204,0.4091,0.4325,0.4543,0.4353,0.4757,0.3873,0.3828,0.3913,0.4688,0.4532,0.4846
007b,disjunctive,exemplar_knn_k3,5,10,30,0.2,0.4189,0.4088,0.4303,0.4577,0.4366,0.4787,0.7308,0.7092,0.7513,0.4824,0.466,0.4989
007b,disjunctive,exemplar_knn_k5,5,10,30,0.2,0.4149,0.4039,0.4273,0.4587,0.4363,0.4807,1.0108,0.979,1.0404,0.4869,0.4704,0.503
007b,disjunctive,kcentroid_k1,5,10,30,0.2,0.4289,0.4173,0.4409,0.417,0.395,0.4383,0.1319,0.1267,0.1365,0.502,0.4832,0.5174
007b,disjunctive,kcentroid_k2,5,10,30,0.2,0.4259,0.4144,0.4381,0.4243,0.402,0.446,0.133,0.1279,0.1379,0.4879,0.4728,0.5039
007b,disjunctive,kcentroid_k3,5,10,30,0.2,0.4247,0.4109,0.4397,0.418,0.3967,0.4397,0.1321,0.127,0.1366,0.4778,0.4639,0.4918
007b,disjunctive,linsvm,5,10,30,0.2,0.442,0.432,0.4529,0.466,0.4443,0.4907,0.5521,0.5316,0.5722,0.5142,0.4933,0.5317
007b,disjunctive,logreg,5,10,30,0.2,0.4464,0.4367,0.4564,0.4543,0.4326,0.477,0.4805,0.4609,0.4989,0.5154,0.4935,0.5339
007b,disjunctive,random,5,10,30,0.2,0.2001,0.1911,0.2097,0.209,0.1963,0.2234,1.1137,1.09,1.1381,0.0395,0.0367,0.0426
007b,disjunctive,centroid,5,20,30,0.2,0.356,0.3452,0.3664,0.3407,0.326,0.3567,0.1183,0.111,0.1247,0.4807,0.4562,0.5033
007b,disjunctive,exemplar_knn_k1,5,20,30,0.2,0.3516,0.3411,0.3628,0.3797,0.363,0.3987,0.3942,0.388,0.3999,0.4473,0.4206,0.4704
007b,disjunctive,exemplar_knn_k3,5,20,30,0.2,0.3496,0.3383,0.3619,0.382,0.3646,0.403,0.751,0.7211,0.7784,0.4622,0.4339,0.4864
007b,disjunctive,exemplar_knn_k5,5,20,30,0.2,0.3469,0.3353,0.3604,0.3807,0.3623,0.4003,1.0795,1.0312,1.1236,0.4702,0.4446,0.4926
007b,disjunctive,kcentroid_k1,5,20,30,0.2,0.356,0.3452,0.3664,0.3407,0.326,0.3567,0.1183,0.111,0.1247,0.4807,0.4562,0.5033
007b,disjunctive,kcentroid_k2,5,20,30,0.2,0.358,0.3472,0.37,0.3497,0.3353,0.3657,0.1199,0.1129,0.1265,0.4639,0.439,0.486
007b,disjunctive,kcentroid_k3,5,20,30,0.2,0.3521,0.3401,0.3652,0.3433,0.3273,0.3613,0.1199,0.1133,0.1263,0.456,0.4325,0.4787
007b,disjunctive,linsvm,5,20,30,0.2,0.3732,0.3616,0.3848,0.3837,0.364,0.406,0.6138,0.5838,0.6401,0.4896,0.4631,0.5135
007b,disjunctive,logreg,5,20,30,0.2,0.3813,0.3691,0.3936,0.3657,0.3463,0.388,0.6394,0.6022,0.6738,0.4996,0.4754,0.5216
007b,disjunctive,random,5,20,30,0.2,0.2041,0.1953,0.2136,0.199,0.1837,0.2147,1.1062,1.0749,1.1379,0.0422,0.039,0.0455
007b,disjunctive,centroid,5,3,30,0.2,0.48,0.4681,0.492,0.467,0.447,0.487,0.1234,0.1182,0.1286,0.4668,0.45,0.4848
007b,disjunctive,exemplar_knn_k1,5,3,30,0.2,0.4724,0.4601,0.4861,0.4917,0.47,0.5147,0.3406,0.3351,0.3466,0.441,0.4232,0.4584
007b,disjunctive,exemplar_knn_k3,5,3,30,0.2,0.4676,0.4559,0.4807,0.498,0.476,0.521,0.4429,0.4231,0.4642,0.445,0.4281,0.4615
007b,disjunctive,exemplar_knn_k5,5,3,30,0.2,0.4689,0.4565,0.4809,0.4877,0.4647,0.511,0.3987,0.3836,0.4142,0.4471,0.4296,0.4667
007b,disjunctive,kcentroid_k1,5,3,30,0.2,0.48,0.4681,0.492,0.467,0.447,0.487,0.1234,0.1182,0.1286,0.4668,0.45,0.4848
007b,disjunctive,kcentroid_k2,5,3,30,0.2,0.476,0.4649,0.4884,0.4653,0.4433,0.4883,0.1218,0.1163,0.1272,0.4524,0.4332,0.471
007b,disjunctive,kcentroid_k3,5,3,30,0.2,0.4724,0.4601,0.4861,0.463,0.442,0.4853,0.1174,0.1121,0.1224,0.441,0.4232,0.4584
007b,disjunctive,linsvm,5,3,30,0.2,0.4843,0.472,0.4975,0.5307,0.5093,0.5523,0.3241,0.3118,0.3365,0.4798,0.464,0.4976
007b,disjunctive,logreg,5,3,30,0.2,0.4877,0.4761,0.5,0.5217,0.4997,0.5437,0.211,0.2024,0.2204,0.4798,0.4633,0.4976
007b,disjunctive,random,5,3,30,0.2,0.1988,0.1891,0.2076,0.205,0.1863,0.2247,1.1011,1.0725,1.1289,0.0407,0.0371,0.0446
007b,disjunctive,centroid,5,5,30,0.2,0.4592,0.4512,0.4675,0.47,0.451,0.4893,0.1332,0.1271,0.1387,0.4938,0.4718,0.5141
007b,disjunctive,exemplar_knn_k1,5,5,30,0.2,0.4655,0.4552,0.4756,0.4927,0.4703,0.5187,0.363,0.3584,0.3678,0.4632,0.4372,0.4861
007b,disjunctive,exemplar_knn_k3,5,5,30,0.2,0.4591,0.4503,0.4681,0.5187,0.495,0.543,0.6123,0.591,0.6328,0.472,0.4477,0.4944
007b,disjunctive,exemplar_knn_k5,5,5,30,0.2,0.4564,0.4473,0.4664,0.5157,0.493,0.5383,0.7211,0.6891,0.7499,0.4789,0.4552,0.5029
007b,disjunctive,kcentroid_k1,5,5,30,0.2,0.4592,0.4512,0.4675,0.47,0.451,0.4893,0.1332,0.1271,0.1387,0.4938,0.4718,0.5141
007b,disjunctive,kcentroid_k2,5,5,30,0.2,0.4672,0.4579,0.4765,0.473,0.452,0.494,0.131,0.1257,0.1361,0.4801,0.4562,0.5045
007b,disjunctive,kcentroid_k3,5,5,30,0.2,0.4637,0.4529,0.4741,0.474,0.4523,0.4967,0.1282,0.1225,0.1336,0.4678,0.4443,0.4893
007b,disjunctive,linsvm,5,5,30,0.2,0.4692,0.4604,0.4775,0.5263,0.5037,0.5503,0.4307,0.4148,0.4457,0.5039,0.4818,0.5247
007b,disjunctive,logreg,5,5,30,0.2,0.4739,0.4649,0.4832,0.5147,0.494,0.536,0.3159,0.3028,0.3275,0.5059,0.4845,0.526
007b,disjunctive,random,5,5,30,0.2,0.1957,0.1867,0.2048,0.1877,0.1727,0.2043,1.095,1.0753,1.1143,0.0386,0.0353,0.0422
007b,native,centroid,3,1,30,0.3333,0.8451,0.8096,0.8796,0.835,0.7922,0.8722,0.1792,0.1629,0.1941,0.6364,0.5756,0.6936
007b,native,exemplar_knn_k1,3,1,30,0.3333,0.8451,0.8096,0.8796,0.8555,0.8189,0.89,0.3399,0.3235,0.3561,0.6364,0.5756,0.6936
007b,native,exemplar_knn_k3,3,1,30,0.3333,0.8451,0.8096,0.8796,0.835,0.7922,0.8722,0.1792,0.1629,0.1941,0.6364,0.5756,0.6936
007b,native,exemplar_knn_k5,3,1,30,0.3333,0.8451,0.8096,0.8796,0.835,0.7922,0.8722,0.1792,0.1629,0.1941,0.6364,0.5756,0.6936
007b,native,kcentroid_k1,3,1,30,0.3333,0.8451,0.8096,0.8796,0.835,0.7922,0.8722,0.1792,0.1629,0.1941,0.6364,0.5756,0.6936
